Turkish,English meaning,Categoy,Difficulty
Vermek,To give,Actions_Activities,2
Veya,Or,Conjunctions,2
Vücut,Body,Body_Parts,2
Vurmak,To hit,Actions_Activities,2
WC,Bathroom (water closet),Objects_Things,1
Ya da,Or,Language_Communication,2
Yabancı,Foreigner,People,3
Yağ,Oil/ fat,Objects_Things,1
Yağmur,Rain,Weather,2
Yakalamak,To catch,Actions_Activities,4
Yakın,Near,Adjectives,3
Yaklaşık,Approximately,Adjectives,3
Yaklaşmak,To get closer,Actions_Activities,3
Yakmak,To light (a fire/ stove),Actions_Activities,2
Yalnız,Alone,Adjectives,2
Yani,In other words,Language_Communication,2
Yanıt,Answer,Actions_Activities,2
Yanlış,Wrong,Adjectives,2
Yanmak,To burn,Actions_Activities,2
Yapı,Structure,Objects_Things,2
Yapmak,To do,Actions_Activities,2
Yaprak,Leaf,Objects_Things,2
Yara,Injury,Health,2
Yaratmak,To create,Actions_Activities,3
Yardım etmek,To help,Actions_Activities,4
Yarım,Half,Adjectives,3
Yaş,Age,Time_Calendar,1
Yasa,Law,Concepts,2
Yaşam,Life,Concepts,3
Yaşamak,To live,Actions_Activities,3
Yaşlı,Old (person),Adjectives,2
Yatak,Bed,Objects_Things,2
Yatmak,To lie down,Actions_Activities,2
Yavaş,Slow,Adjectives,2
Yaygın,Common/ widespread,Adjectives,3
Yaz,Summer,Time_Calendar,1
Yazar,Author,Occupations,2
Yazmak,To write,Actions_Activities,2
Yedek,Extra,Objects_Things,2
Yedi,Seven,Numbers,2
Yemek,To Eat,Food_Drink,2
Yeni,New,Adjectives,2
Yer,Place/ floor,Places_Locations,1
Yeşil,Green,Colors,2
Yetenek,Skill,Concepts,3
Yeterli,Enough,Adjectives,3
Yetmiş,Seventy,Numbers,2
Yıl,Year,Time_Calendar,1
Yılan,Snake,Animals,3
Yıldız,Star,Objects_Things,2
Yine,Again,Adverbs,2
Yirmi,Twenty,Numbers,2
Yiyecek,Food,Food_Drink,3
Yoğun,Thick/ busy,Adjectives,3
Yoğurt,Yogurt,Food_Drink,2
Yoksa,Or,Adverbs,2
Yol,Road/ path,Places_Locations,1
Yön,Direction,Places_Locations,2
Yönetici,Manager,Occupations,4
Yönetmek,To lead,Actions_Activities,3
Yöntem,Method,Concepts,3
Yorulmak,To be exhausted,Actions_Activities,3
Yorum,Comment,Language_Communication,3
Yüksek,High,Adjectives,2
Yumurta,Egg,Food_Drink,3
Yumuşak,Soft,Adjectives,3
Yurt dışı,Outside the country,Places_Locations,3
Yurtiçi,Domestic (inside the country),Places_Locations,3
Yürümek,To walk,Actions_Activities,3
Yuvarlak,Round,Adjectives,3
Yüz,Face/ 100,Body_Parts,1
Yüzde,Percent,Concepts,2
Yüzyıl,Century,Time_Calendar,2
Zafer,Victory,Concepts,2
Zaman,Time,Time_Calendar,3
Zarar,Damage,Concepts,2
Zarf,Envelope/ adverb,Objects_Things,1
Zaten,Anyway/ already,Adverbs,3
Zayıf,Thin/ weak,Adjectives,2
Zehir,Poison,Objects_Things,2
Zeki,Intelligent,Adjectives,2
Zemin,Ground (floor),Places_Locations,3
Zengin,Rich,Adjectives,3
Zevk,Pleasure,Concepts,1
Zeytin,Olive,Food_Drink,3
Zil,Doorbell,Objects_Things,1
Zor,Difficult,Adjectives,1
olarak,as,Language_Communication,3
ben,I,People,2
onun,his,People,3
bu,that,Adjectives,1
diye,he,Adverbs,2
oldu,was,Adjectives,2
için,for,Adverbs,3
üzerinde,on,Adverbs,4
vardır,are,Adverbs,2
ile,with,Adverbs,2
onlar,they,People,2
var,have,Adverbs,1
dan,from,Adverbs,2
tarafından,by,Adverbs,5
ancak,but,Adverbs,2
olduğunu,is,Adverbs,4
o,it,People,1
sen,you,People,2
vardı,had,Adverbs,2
arasında,of,Adverbs,4
içinde,in,Adverbs,3
biz,we,People,1
üzerinden,out,Adverbs,5
do,do,Adverbs,1
onların,their,People,4
eğer,if,Adverbs,2
olacak,will,Adverbs,3
dedi,said,Language_Communication,2
söyle,tell,Language_Communication,2
yok,does,Adverbs,1
set,set,Adverbs,1
istiyorum,want,Language_Communication,5
iyi,well,Adjectives,2
ayrıca,also,Adverbs,3
liman,port,Places_Locations,3
büyü,spell,Adjectives,2
ekleyin,add,Actions_Activities,4
hatta,even,Adverbs,2
arazi,land,Places_Locations,3
gerekir,must,Adverbs,3
böyle,such,Adverbs,2
izleyin,follow,Actions_Activities,4
erkekler,men,People,3
değişim,change,Concepts,4
gitti,went,Actions_Activities,2
ışık,light,Objects_Things,2
kapalı,off,Adjectives,3
gerek,need,Adverbs,2
bizi,us,People,2
inşa etmek,build,Actions_Activities,4
öz,self,Adjectives,1
herhangi bir,any,Adjectives,4
iş,work,Occupations,1
olsun,get,Adverbs,3
yapılan,made,Actions_Activities,4
geri,back,Adverbs,2
geldi,came,Actions_Activities,2
gösterisi,show,Actions_Activities,4
bana,me,People,2
bizim,our,People,3
altında,under,Adverbs,3
adı,name,People,2
formu,form,Objects_Things,2
yardım,help,Actions_Activities,3
düşük,low,Adjectives,2
hat,line,Objects_Things,1
dönüş,turn,Actions_Activities,2
sağ,right,Adverbs,1
orada,there,Adverbs,3
yukarı,up,Adverbs,3
Kullanım,use,Actions_Activities,4
senin,your,People,3
hakkında,about,Adverbs,3
o zaman,then,Adverbs,4
onları,them,People,3
would,would,Adverbs,1
bu yüzden,so,Adverbs,4
onu,her,People,2
iki,two,Numbers,2
bak,look,Actions_Activities,1
daha fazla,more,Adverbs,4
olabilir,could,Adverbs,4
gel,come,Actions_Activities,1
yaptım,did,Actions_Activities,3
numarası,number,Numbers,4
insanlar,people,People,3
benim,my,People,3
daha,than,Adverbs,2
çağrı,call,Actions_Activities,2
ilk,first,Numbers,1
may,may,Time_Calendar,1
aşağı,down,Adverbs,3
yan,side,Adverbs,2
standı,stand,Occupations,2
kendi,own,Adjectives,2
bulundu,found,Actions_Activities,3
cevap,answer,Actions_Activities,2
çalışma,study,Actions_Activities,3
hala,still,Adverbs,2
öğrenmek,learn,Actions_Activities,3
let,let,Adverbs,1
çapraz,cross,Adverbs,2
çiftlik,farm,Places_Locations,2
başlangıç,start,Actions_Activities,3
hikaye,story,Actions_Activities,3
testere,saw,Objects_Things,3
çizmek,draw,Actions_Activities,2
run,run,Actions_Activities,2
yapamaz,don’t,Adjectives,3
basın,press,Occupations,3
aldı,took,Actions_Activities,2
arkadaşı,friend,People,4
başladı,began,Actions_Activities,3
dur,stop,Adverbs,1
bir kez,once,Adverbs,2
baz,base,Objects_Things,1
kesim,cut,Actions_Activities,3
izle,watch,Actions_Activities,2
ahşap,wood,Objects_Things,2
ana,main,People,2
sonraki,next,Adverbs,3
başla,begin,Actions_Activities,2
kolaylığı,ease,Adjectives,4
her ikisi de,both,Adverbs,5
işareti,mark,Objects_Things,4
sık sık,often,Adverbs,2
ayaklar,feet,Body_Parts,3
bakım,care,Actions_Activities,3
ikinci,second,Numbers,3
olağan,usual,Adjectives,4
yukarıdaki,above,Adverbs,5
hiç,ever,Adverbs,1
listesi,list,Objects_Things,3
olsa,though,Adverbs,2
tartışma,talk,Actions_Activities,3
yakında,soon,Adverbs,3
doğrudan,direct,Adverbs,4
poz,pose,Objects_Things,1
bırakın,leave,Actions_Activities,4
ölçmek,measure,Actions_Activities,2
rakam,numeral,Numbers,3
rüzgar,wind,Weather,2
komple,complete,Adjectives,2
gemi,ship,Objects_Things,2
sipariş,order,Actions_Activities,3
yangın,fire,Actions_Activities,3
söyledi,told,Language_Communication,3
biliyordu,knew,Adverbs,4
beri,since,Adverbs,2
üst,top,Adjectives,1
inch,inch,Measurement,1
hiçbir şey,nothing,Adverbs,3
tekerlek,wheel,Objects_Things,3
kuvvet,force,Concepts,2
nesne,object,Objects_Things,2
yüzey,surface,Objects_Things,2
ada,island,Places_Locations,2
meşgul,busy,Adjectives,2
Test,test,Actions_Activities,1
tekne,boat,Objects_Things,2
düzlem,plane,Objects_Things,3
başkasının yeri,stead,Places_Locations,6
koştu,ran,Actions_Activities,2
kontrol,check,Actions_Activities,2
oyunu,game,Actions_Activities,3
özledim,miss,Feelings_Emotions,4
getirdi,brought,Actions_Activities,3
ısı,heat,Weather,2
kar,snow,Weather,1
doldurun,fill,Actions_Activities,4
boya,paint,Objects_Things,2
ünitesi,unit,Objects_Things,4
ince,fine,Adjectives,2
belirli,certain,Adjectives,3
kurşun,lead,Objects_Things,3
notu,note,Objects_Things,2
bekleyin,wait,Adverbs,4
planı,plan,Concepts,2
i,noun,Letters_Alphabets,1
gerisi,rest,Concepts,3
yetenekli,able,Adjectives,4
kiloluk,pound,Measurement,3
bitti,done,Actions_Activities,2
güzellik,beauty,Concepts,3
durdu,stood,Actions_Activities,2
içeren,contain,Actions_Activities,4
ön,front,Adjectives,2
nihai,final,Adjectives,2
verdi,gave,Actions_Activities,2
oh,oh,Language_Communication,1
geliştirmek,develop,Actions_Activities,4
ücretsiz,free,Adjectives,3
zihin,mind,Concepts,3
arkasında,behind,Location,4
kuyruk,tail,Objects_Things,2
üretmek,produce,Actions_Activities,3
uzay,space,Science_Technology,2
duydum,heard,Perception,3
en iyi,best,Adjectives,3
daha iyi,better,Adjectives,4
sırasında,during,Time_Calendar,4
hatırlıyorum,remember,Actions_Activities,6
tutun,hold,Actions_Activities,3
faiz,interest,Finance,1
fiil,verb,Language_Communication,1
şarkı söylemek,sing,Actions_Activities,5
dinle,listen,Actions_Activities,2
tablo,table,Objects_Things,2
seyahat,travel,Actions_Activities,3
desen,pattern,Concepts,3
merkezi,center,Location,3
hizmet,serve,Actions_Activities,2
görünür,appear,Adjectives,3
idare,govern,Actions_Activities,3
Çek,pull,Actions_Activities,1
avı,hunt,Actions_Activities,2
muhtemel,probable,Adjectives,3
hücre,cell,Science_Technology,2
inanıyorum,believe,Concepts,6
ani,sudden,Adjectives,2
saymak,count,Actions_Activities,2
kare,square,Shapes,2
uzunluk,length,Measurement,3
temsil,represent,Concepts,2
boyut,size,Measurement,2
yerleşmek,settle,Actions_Activities,3
ağırlık,weight,Measurement,3
buz,ice,Objects_Things,1
çifti,pair,Numbers,2
dahil,include,Concepts,2
hece,syllable,Language_Communication,2
keçe,felt,Objects_Things,2
dalga,wave,Nature,2
kalp,heart,Body_Parts,1
duyuyorum,am,Perception,5
mevcut,present,Adjectives,2
dans,dance,Actions_Activities,1
motor,engine,Objects_Things,2
pozisyon,position,Actions_Activities,4
yelken,sail,Objects_Things,3
materyal,material,Objects_Things,3
kesir,fraction,Math,2
yarış,race,Actions_Activities,2
penceresi,window,Objects_Things,4
uyku,sleep,Actions_Activities,2
kanıtlamak,prove,Actions_Activities,4
egzersiz,exercise,Actions_Activities,3
catch,catch,Actions_Activities,1
dilek,wish,Actions_Activities,2
gökyüzü,sky,Nature,3
kurulu,board,Actions_Activities,3
sevinç,joy,Feelings_Emotions,2
Cts,sat,Days_Week,1
yazılı,written,Language_Communication,3
vahşi,wild,Adjectives,2
enstrüman,instrument,Objects_Things,4
tuttu,kept,Actions_Activities,2
çim,grass,Nature,2
inek,cow,Animals,2
ziyareti,visit,Actions_Activities,4
eğlenceli,fun,Adjectives,4
parlak,bright,Adjectives,2
umut,hope,Feelings_Emotions,2
giydirmek,clothe,Actions_Activities,3
garip,strange,Adjectives,2
ticaret,trade,Actions_Activities,3
melodi,melody,Music,3
gezi,trip,Actions_Activities,2
ofis,office,Places_Locations,2
satır,row,Objects_Things,2
sembol,symbol,Objects_Things,2
en az,least,Adjectives,2
hariç,except,Adverbs,2
yazdı,wrote,Actions_Activities,2
tohum,seed,Objects_Things,3
sesi,tone,Perception,2
önermek,suggest,Actions_Activities,3
molası,break,Actions_Activities,3
bayan,lady,People,3
yarda,yard,Places_Locations,2
yükselecek,rise,Actions_Activities,4
darbe,blow,Actions_Activities,2
dokunma,touch,Actions_Activities,3
büyüdü,grew,Actions_Activities,3
tel,wire,Objects_Things,1
maliyet,cost,Finance,3
kaybetti,lost,Actions_Activities,3
gönderildi,sent,Actions_Activities,4
düştü,fell,Actions_Activities,2
akış,flow,Actions_Activities,2
adil,fair,Adjectives,2
kaydetmek,save,Actions_Activities,3
kontrolü,control,Actions_Activities,3
ondalık,decimal,Math,3
kırdı,broke,Actions_Activities,2
dava,case,Concepts,2
oğlu,son,Family_Relationships,2
ölçek,scale,Measurement,2
yüksek sesle,loud,Adverbs,4
bahar,spring,Time_Calendar,2
gözlemlemek,observe,Actions_Activities,4
ünsüz,consonant,Language_Communication,2
ulus,nation,People,2
Sözlük,dictionary,Objects_Things,2
hız,speed,Measurement,1
Organ,organ,Body_Parts,3
ödeme,pay,Finance,3
elbise,dress,Objects_Things,3
bulut,cloud,Objects_Things,2
sessiz,quiet,Adjectives,2
küçücük,tiny,Adjectives,3
tırmanış,climb,Actions_Activities,3
serin,cool,Adjectives,3
dizayn,design,Actions_Activities,3
deneme,experiment,Actions_Activities,3
alt,bottom,Location,1
anahtar,key,Objects_Things,3
demir,iron,Objects_Things,2
sopa,stick,Objects_Things,2
cilt,skin,Body_Parts,1
gülümseme,smile,Actions_Activities,4
kırışık,crease,Adjectives,3
atlama,jump,Actions_Activities,3
karşılamak,meet,Actions_Activities,4
kök,root,Plants,1
satın,buy,Actions_Activities,3
yükseltmek,raise,Actions_Activities,3
it,push,Animals,1
paragraf,paragraph,Language_Communication,3
Shall,shall,Language_Communication,1
tutulan,held,Actions_Activities,4
tanımlamak,describe,Actions_Activities,4
aşçı,cook,Occupations,2
güvenli,safe,Adjectives,3
tipi,type,Objects_Things,2
hukuk,law,Concepts,2
bit,bit,Objects_Things,1
sahil,coast,Places_Locations,2
kopya,copy,Actions_Activities,2
ifade,phrase,Actions_Activities,3
uzun boylu,tall,Adjectives,4
rulo,roll,Objects_Things,2
sıcaklık,temperature,Measurement,3
sanayi,industry,Concepts,3
değeri,value,Concepts,3
kavga,fight,Actions_Activities,2
yalan,lie,Actions_Activities,3
yendi,beat,Actions_Activities,2
heyecanlandırmak,excite,Actions_Activities,6
görünüm,view,Adjectives,4
sense,sense,Language_Communication,2
sermaye,capital,Concepts,3
olmaz,won’t,Adjectives,2
süreç,process,Actions_Activities,2
işletmek,operate,Actions_Activities,3
uygulama,practice,Actions_Activities,4
öğlen,noon,Time_Calendar,3
kırpma,crop,Actions_Activities,2
çağdaş,modern,Adjectives,2
besleme,supply,Actions_Activities,3
kimin,whose,Question_Words,3
yerleştirmek,locate,Actions_Activities,4
halka,ring,Objects_Things,2
karakter,character,Concepts,3
yakalandı,caught,Actions_Activities,4
dönemi,period,Time_Calendar,3
göstermektedir,indicate,Actions_Activities,5
radyo,radio,Objects_Things,2
konuştu,spoke,Language_Communication,3
atomudur,atom,Science_Technology,4
insan,human,People,3
geçmişi,history,Time_Calendar,3
etkisi,effect,Concepts,3
bekliyoruz,expect,Actions_Activities,4
kemik,bone,Body_Parts,2
demiryolu,rail,Objects_Things,4
hayal,imagine,Concepts,2
katılıyorum,agree,Actions_Activities,6
böylece,thus,Adverbs,3
nazik,gentle,Adjectives,2
kaptan,captain,Occupations,3
sanırım,guess,Adverbs,4
keskin,sharp,Adjectives,3
kanat,wing,Body_Parts,2
oluşturmak,create,Actions_Activities,4
komşu,neighbor,People,2
yıkama,wash,Actions_Activities,3
yarasa,bat,Animals,3
yerine,rather,Location,3
karşılaştırma,compare,Concepts,5
dize,string,Objects_Things,2
çan,bell,Objects_Things,2
bağlı,depend,Adjectives,2
ovmak,rub,Actions_Activities,2
tüp,tube,Objects_Things,1
dolar,dollar,Finance,2
akışı,stream,Actions_Activities,3
korku,fear,Feelings_Emotions,2
görüş,sight,Concepts,2
üçgen,triangle,Shapes,3
gezegen,planet,Objects_Things,4
acele,hurry,Adjectives,3
koloni,colony,Objects_Things,3
mayın,mine,Objects_Things,3
kravat,tie,Objects_Things,2
girin,enter,Actions_Activities,3
arama,search,Actions_Activities,3
gun,gun,Objects_Things,2
izin,allow,Actions_Activities,3
ölü,dead,Adjectives,2
çöl,desert,Places_Locations,1
takım elbise,suit,Objects_Things,5
akım,current,Objects_Things,3
asansör,lift,Objects_Things,3
gül,rose,Plants,1
iz,track,Objects_Things,1
ebeveyn,parent,People,4
kıyı,shore,Places_Locations,2
bölünme,division,Concepts,3
levha,sheet,Objects_Things,2
iyilik,favor,Adjectives,3
sonrası,post,Time_Calendar,3
akor,chord,Music,2
şişman,fat,Adjectives,3
memnun,glad,Adjectives,3
orijinal,original,Adjectives,4
payı,share,Finance,2
istasyon,station,Places_Locations,4
bar,bar,Places_Locations,1
teklif,offer,Actions_Activities,2
segmenti,segment,Objects_Things,3
köle,slave,People,2
ördek,duck,Animals,2
anlık,instant,Adjectives,2
derecesi,degree,Measurement,4
civciv,chick,Animals,2
sevgili,dear,People,3
düşman,enemy,People,3
içki,drink,Food_Drink,2
meydana,occur,Actions_Activities,3
konuşma,speech,Language_Communication,3
doğa,nature,Nature,2
aralığı,range,Measurement,4
buhar,steam,Nature,2
log,log,Objects_Things,1
dişler,teeth,Body_Parts,2
kabuk,shell,Objects_Things,2
oksijen,oxygen,Science_Technology,4
beceri,skill,Concepts,3
sezon,season,Time_Calendar,3
mıknatıs,magnet,Objects_Things,3
teşekkür ederim,thank,Language_Communication,7
şube,branch,Objects_Things,2
sonek,suffix,Language_Communication,2
incir,fig,Food_Drink,2
korkuyor,afraid,Feelings_Emotions,3
çelik,steel,Objects_Things,2
ileri,forward,Adjectives,3
benzer,similar,Adjectives,2
kılavuz,guide,Occupations,3
deneyim,experience,Actions_Activities,4
satın aldı,bought,Actions_Activities,4
açtı,led,Actions_Activities,2
zift,pitch,Objects_Things,1
ceket,coat,Objects_Things,2
kitle,mass,Concepts,2
halat,rope,Objects_Things,2
kayma,slip,Actions_Activities,2
win,win,Actions_Activities,2
durumu,condition,Concepts,3
beslemek,feed,Actions_Activities,3
aracı,tool,Objects_Things,3
vadi,valley,Places_Locations,2
bloğu,block,Objects_Things,2
grafiği,chart,Objects_Things,3
anlaşma,deal,Actions_Activities,3
yüzmek,swim,Actions_Activities,2
vadeli,term,Finance,3
karşısında,opposite,Location,4
karısı,wife,Family_Relationships,3
omuz,shoulder,Body_Parts,2
yaymak,spread,Actions_Activities,2
kamp,camp,Places_Locations,1
icat,invent,Actions_Activities,2
doğmuş,born,Adjectives,2
belirlemek,determine,Actions_Activities,4
kuart,quart,Objects_Things,1
kamyon,truck,Transportation,3
gürültü,noise,Perception,3
seviyesi,level,Concepts,4
streç,stretch,Objects_Things,1
parlaklık,shine,Adjectives,3
mülkiyet,property,Concepts,3
sütun,column,Objects_Things,3
molekülü,molecule,Science_Technology,4
seçin,select,Actions_Activities,3
gerektirir,require,Concepts,4
hazırlamak,prepare,Actions_Activities,4
çoğul,plural,Language_Communication,2
öfke,anger,Feelings_Emotions,2
iddia,claim,Concepts,2
kıta,continent,Places_Locations,2
